"YEAR" "GLOBAL (PgC/y)" "NORTH (PgC/y)" "TROPICS (PgC/y)" "SOUTH (PgC/y)"
1986 1.18301916122437 0.971633732318878 0.161535441875458 0.0498499795794487
1987 -0.142600104212761 1.25105905532837 -1.44309198856354 0.0494327507913113
1988 1.54248380661011 0.870069921016693 0.603944897651672 0.0684690549969673
1989 2.5614800453186 1.01286089420319 1.48256826400757 0.0660507529973984
1990 1.4444682598114 1.92752742767334 -0.45945879817009 -0.0236003883183002
1991 1.67456817626953 1.29430091381073 0.495105862617493 -0.1148387119174
1992 1.44309616088867 1.62319624423981 -0.423099040985107 0.242998957633972
1993 2.51781821250916 1.77779924869537 0.549660325050354 0.190358743071556
1994 0.762069344520569 0.739688813686371 0.235311850905418 -0.212931349873543
1995 1.207803606987 1.11746966838837 0.0195938516408205 0.0707401558756828
1996 1.91386866569519 0.826609551906586 0.97501003742218 0.112249046564102
1997 2.14898085594177 1.42099452018738 0.736471951007843 -0.00848559103906155
1998 0.442384630441666 1.01329207420349 -0.691802978515625 0.120895527303219
1999 2.29584717750549 0.943422496318817 1.31201839447021 0.0404063612222672
2000 2.86301922798157 0.802788376808167 1.87181806564331 0.18841265141964
2001 1.07691431045532 0.820603251457214 0.311386376619339 -0.055075291544199
2002 0.284400850534439 1.30728995800018 -0.778726935386658 -0.244162186980247
2003 1.996950507164 1.5299665927887 0.515271365642548 -0.0482875071465969
2004 3.08181047439575 1.87385225296021 1.09687221050262 0.111086115241051
2005 1.65861129760742 1.45307683944702 0.111578434705734 0.0939560458064079
2006 3.00152373313904 0.970682442188263 2.10651683807373 -0.0756757035851479
2007 2.65406656265259 1.56334805488586 1.12494444847107 -0.0342258363962173
2008 3.15155935287476 1.54511034488678 1.52570343017578 0.0807455405592918
2009 2.15480828285217 1.83487594127655 0.499425709247589 -0.179493471980095
2010 1.34967505931854 1.41418504714966 -0.144739240407944 0.0802293121814728
2011 3.03714036941528 1.30149793624878 1.551309466362 0.18433304131031
2012 1.43407690525055 1.10759174823761 0.391469776630402 -0.0649846196174622
2013 1.55645704269409 1.84415054321289 -0.138478025794029 -0.14921547472477
2014 2.77043962478638 1.86136531829834 0.902827560901642 0.00624676840379834
2015 1.5635861158371 1.92198300361633 -0.324809104204178 -0.0335877798497677
2016 2.26081514358521 2.51912260055542 -0.424462676048279 0.166155278682709
