1966,-0.209,-0.132,-0.132,-0.272,-0.189,0.046,-0.016,0,-0.029,-0.169,-0.153,-0.357
1966,41,41,41,41,41,41,41,41,41,41,41,41
1967,-0.289,-0.432,-0.088,-0.075,0.111,-0.213,-0.113,-0.075,-0.12,0.331,0.015,-0.136
1967,41,41,41,41,41,41,41,41,41,41,41,41
1968,-0.346,-0.269,0.335,-0.196,-0.301,-0.283,-0.201,-0.192,-0.193,-0.123,-0.252,-0.402
1968,41,41,41,41,41,41,41,41,41,41,41,41
1969,-0.625,-0.726,-0.304,-0.016,-0.013,-0.091,0.025,-0.024,-0.072,-0.049,0.167,0.24
1969,41,41,41,41,41,41,41,41,41,41,41,41
1970,-0.056,0.287,-0.267,0.01,-0.102,0.075,-0.021,-0.067,0.006,-0.171,-0.093,-0.307
1970,41,41,41,41,41,41,41,41,41,41,41,41
1971,-0.077,-0.409,-0.465,-0.36,-0.286,-0.292,-0.169,-0.112,-0.007,-0.085,-0.011,-0.064
1971,41,41,41,41,41,41,41,41,41,41,41,41
1972,-0.743,-0.625,-0.255,-0.162,-0.187,-0.043,-0.066,-0.077,-0.224,-0.094,-0.246,0.086
1972,41,41,41,41,40,41,40,40,40,41,40,41
1973,0.151,0.523,0.365,0.25,0.128,0.23,0.08,0.028,-0.047,-0.019,-0.142,-0.08
1973,41,41,41,41,41,40,41,41,41,40,41,40
1974,-0.442,-0.591,-0.183,-0.144,-0.237,-0.191,-0.089,-0.122,-0.23,-0.353,-0.326,-0.339
1974,40,40,40,40,40,40,40,40,40,40,40,40
1975,0.138,-0.017,0.027,0.035,-0.002,-0.021,-0.035,-0.139,0.049,-0.187,-0.288,-0.29
1975,41,41,41,41,40,41,40,40,40,40,40,40
1976,-0.082,-0.339,-0.715,-0.166,-0.311,-0.288,-0.298,-0.291,-0.218,-0.673,-0.444,-0.3
1976,40,40,40,40,40,40,40,40,40,40,40,40
1977,-0.432,0.085,0.245,0.249,0.105,0.192,0.068,-0.014,0.012,-0.056,0.383,0.044
1977,40,40,40,40,40,40,40,40,40,40,40,40
1978,0.041,-0.064,0.12,0.011,-0.057,-0.145,-0.063,-0.244,-0.067,-0.058,0.14,-0.155
1978,40,40,40,40,40,40,40,39,40,40,40,40
1979,-0.118,-0.291,0.002,-0.248,-0.071,0.108,0.021,0.051,0.084,0.194,0.115,0.621
1979,40,40,40,40,40,40,40,40,40,40,40,40
1980,0.083,0.226,-0.123,0.161,0.249,0.123,0.061,0.078,0.096,0.12,0.253,0.114
1980,40,40,40,40,40,40,40,40,40,40,40,40
1981,0.715,0.585,0.49,0.401,0.105,0.144,0.098,0.233,0.1,0.041,0.145,0.458
1981,40,40,40,40,40,40,40,40,40,40,40,39
1982,-0.198,0.095,-0.229,0.048,0.002,-0.129,0.032,0.008,0.081,-0.126,-0.118,0.41
1982,39,39,39,39,39,39,39,40,40,40,39,39
1983,0.7,0.468,0.35,0.147,0.15,0.107,0.258,0.312,0.379,0.194,0.531,0.121
1983,39,39,40,40,39,40,40,39,39,40,39,39
1984,0.146,-0.098,0.031,-0.127,0.209,0.039,-0.004,0.04,-0.131,0.079,-0.18,-0.517
1984,39,39,39,39,39,40,40,39,39,39,39,39
1985,-0.018,-0.298,-0.095,-0.002,0.065,-0.049,-0.136,0.105,-0.04,0.044,-0.046,0.025
1985,40,40,40,40,40,40,39,40,40,39,40,39
1986,0.424,0.176,0.2,0.255,0.188,0.151,-0.037,0.023,-0.064,0.009,-0.034,0.044
1986,39,39,39,39,39,39,39,39,39,39,39,39
1987,0.177,0.676,-0.111,0.191,0.189,0.214,0.355,0.202,0.311,0.248,0.131,0.516
1987,39,39,39,39,39,39,39,39,39,39,39,39
1988,0.623,0.263,0.364,0.298,0.356,0.42,0.339,0.32,0.367,0.333,0.106,0.476
1988,39,39,39,39,39,39,39,39,39,39,39,39
1989,0.161,0.421,0.398,0.225,0.191,0.16,0.204,0.219,0.217,0.291,0.077,0.316
1989,39,39,39,39,39,39,39,39,39,39,39,39
1990,0.39,0.553,1.142,0.574,0.384,0.423,0.278,0.358,0.22,0.474,0.583,0.408
1990,39,39,39,39,39,39,39,39,39,39,38,38
1991,0.509,0.512,0.265,0.541,0.31,0.546,0.405,0.34,0.365,0.329,0.249,0.113
1991,38,37,37,37,37,37,37,37,37,37,37,37
1992,0.699,0.544,0.417,0.09,0.141,0.059,-0.216,-0.068,-0.192,-0.175,-0.192,0.205
1992,38,37,37,37,38,37,37,37,37,37,37,37
1993,0.448,0.458,0.355,0.181,0.23,0.221,0.158,0.117,-0.072,0.131,-0.313,0.282
1993,37,37,37,38,37,37,37,37,37,37,37,37
1994,0.35,-0.143,0.313,0.432,0.364,0.408,0.263,0.271,0.324,0.46,0.528,0.409
1994,37,37,37,37,37,37,37,37,38,38,37,37
1995,0.823,1.187,0.478,0.477,0.353,0.515,0.405,0.58,0.477,0.676,0.549,0.211
1995,38,37,38,38,38,38,37,38,37,37,37,37
1996,0.208,0.43,0.129,-0.002,0.324,0.278,0.29,0.251,0.12,0.184,0.226,0.389
1996,37,37,37,37,37,37,37,37,37,37,37,37
1997,0.42,0.592,0.543,0.358,0.346,0.521,0.394,0.483,0.526,0.625,0.534,0.589
1997,37,37,37,37,37,37,37,37,37,37,37,37
1998,0.715,1.316,0.74,0.984,0.82,0.867,0.951,0.879,0.72,0.697,0.319,0.835
1998,37,37,38,37,37,38,38,38,38,38,38,37
1999,0.77,1.159,0.231,0.511,0.392,0.465,0.486,0.444,0.585,0.543,0.415,0.745
1999,37,37,37,37,37,37,37,37,37,37,37,37
2000,0.336,0.911,0.738,0.912,0.522,0.45,0.416,0.516,0.402,0.297,0.087,0.238
2000,37,37,37,37,37,37,37,37,37,37,37,37
2001,0.67,0.512,0.765,0.681,0.703,0.545,0.631,0.765,0.571,0.628,0.995,0.555
2001,36,36,36,36,35,36,35,36,35,36,35,35
2002,1.139,1.345,1.145,0.682,0.581,0.645,0.778,0.616,0.663,0.472,0.711,0.318
2002,35,35,36,36,36,36,36,35,36,36,36,36
2003,0.979,0.625,0.57,0.621,0.798,0.681,0.63,0.79,0.744,0.898,0.669,1.05
2003,36,36,36,36,36,36,36,35,36,37,36,36
2004,0.762,1.059,0.93,0.699,0.367,0.504,0.408,0.465,0.555,0.734,1.055,0.489
2004,36,36,36,36,36,35,36,35,36,35,35,36
2005,0.92,0.549,0.856,0.982,0.723,0.852,0.805,0.697,0.938,1.051,1.159,0.735
2005,36,35,36,35,36,35,35,35,36,35,36,35
2006,0.611,0.935,0.757,0.586,0.539,0.849,0.766,0.74,0.758,0.978,0.884,1.243
2006,35,36,36,36,36,36,36,36,35,35,36,35
2007,1.602,0.944,0.974,1.068,0.804,0.617,0.622,0.781,0.805,0.933,0.789,0.803
2007,36,35,35,35,36,36,36,36,36,36,35,36
2008,0.365,0.456,1.21,0.575,0.5,0.609,0.71,0.577,0.605,0.98,1.029,0.696
2008,36,36,35,36,36,36,35,36,36,36,36,36
2009,0.777,0.834,0.645,0.834,0.591,0.649,0.585,0.825,0.983,0.724,0.825,0.515
2009,35,36,36,35,35,35,36,36,35,35,35,35
2010,0.784,0.869,1.083,1.037,0.923,0.972,0.964,0.873,0.784,0.882,1.179,0.451
2010,35,35,35,35,35,35,35,36,36,36,36,36
2011,0.445,0.416,0.587,0.88,0.571,0.799,0.787,0.764,0.823,0.947,0.674,0.862
2011,34,35,35,34,35,35,34,35,35,34,34,34
2012,0.582,0.374,0.628,1.059,0.966,0.948,0.819,0.848,0.9,0.87,0.905,0.294
2012,35,35,34,35,35,35,35,35,35,34,35,35
